product_title,gender,product_type,color,usage,color_details,heel_height,heel_type,price_usd,brand,product_id,image
Puma men future cat remix sf black casual shoes,men,casual shoes,black,casual,[],,,220,puma,1,1.jpg
Buckaroo men flores black formal shoes,men,formal shoes,black,formal,[],,,155,buckaroo,2,2.jpg
Gas men europa white shoes,men,casual shoes,white,casual,[],,,105,gas,3,3.jpg
Nike men's incinerate msl white blue shoe,men,sports shoes,white,sports,['blue'],,,125,nike,4,4.jpg
Clarks men hang work leather black formal shoes,men,formal shoes,black,formal,[],,,220,clarks,5,5.jpg
Arrow men black formal shoes,men,formal shoes,black,formal,[],,,105,arrow,6,6.jpg
Timberland men black casual shoes,men,boots shoes,black,boots,[],,,70,timberland,7,7.jpg
Vans men classic slip-on purple & black shoes,men,casual shoes,purple,casual,['black'],,,50,vans,8,8.jpg
Adidas men's lowell white silver shoe,men,sports shoes,white,sports,['silver'],,,75,adidas,9,9.jpg
Id men red shoes,men,casual shoes,red,casual,[],,,100,id,10,10.jpg
Vans men khaki shoes,men,casual shoes,khaki,casual,[],,,135,vans,11,11.jpg
Puma men axis white & grey sports shoes,men,sports shoes,white,sports,['grey'],,,105,puma,12,12.jpg
Nike men air rift mtr white casual shoe,men,casual shoes,white,casual,[],,,170,nike,13,13.jpg
Adidas men white corona sports shoes,men,sports shoes,white,sports,[],,,160,adidas,14,14.jpg
Vans men blue era scilla plaid shoes,men,casual shoes,blue,casual,[],,,105,vans,15,15.jpg
Fila men destiny grey sports shoes,men,sports shoes,grey,sports,[],,,115,fila,16,16.jpg
Adidas men blue chill sports shoes,men,sports shoes,blue,sports,[],,,50,adidas,17,17.jpg
Nike men air relentless 2 msl white sports shoes,men,sports shoes,white,sports,['blue'],,,200,nike,18,18.jpg
Adidas men black anzo breeze casual shoes,men,casual shoes,black,casual,[],,,85,adidas,19,19.jpg
Numero uno men white casual shoes,men,casual shoes,white,casual,[],,,125,numero uno,20,20.jpg
Rockport men llandro red casual shoes,men,casual shoes,red,casual,[],,,220,rockport,21,21.jpg
Arrow men formal black shoe,men,formal shoes,black,formal,[],,,165,arrow,22,22.jpg
Carlton london men formal brown formal shoes,men,formal shoes,brown,formal,[],,,70,carlton london,23,23.jpg
Lotto men atlantica black sports shoe,men,sports shoes,black,sports,['orange'],,,145,lotto,24,24.jpg
Adidas men sports black sports shoes,men,sports shoes,black,sports,['yellow'],,,85,adidas,25,25.jpg
F sports men white outlander sports shoes,men,sports shoes,white,casual,['black'],,,70,f sports,26,26.jpg
Fila men liga ii black shoes,men,casual shoes,black,casual,['red'],,,70,fila,27,27.jpg
Arrow men black formal shoes,men,formal shoes,black,formal,[],,,80,arrow,28,28.jpg
Puma men's yugorun black white shoe,men,sports shoes,black,sports,"['white', 'yellow']",,,210,puma,29,29.jpg
Gas men brown count casual shoes,men,casual shoes,brown,casual,[],,,200,gas,30,30.jpg
Puma men cabana racer sketch white sports shoes,men,sports shoes,white,sports,['red'],,,45,puma,31,31.jpg
Nike men white capri ii casual shoe,men,casual shoes,white,casual,['black'],,,90,nike,32,32.jpg
Enroute men leather black formal shoes,men,formal shoes,black,formal,[],,,200,enroute,33,33.jpg
Red chief men black shoes,men,casual shoes,black,casual,[],,,150,red chief,34,34.jpg
United colors of benetton men casual black shoes,men,casual shoes,black,casual,[],,,140,united colors of benetton,35,35.jpg
Adidas men vigor blue casual shoes,men,casual shoes,blue,casual,['red'],,,165,adidas,36,36.jpg
Adidas men sukoi white sports shoes,men,sports shoes,white,sports,[],,,135,adidas,37,37.jpg
Fila men grey hex sports shoes,men,sports shoes,grey,sports,[],,,180,fila,38,38.jpg
Lee cooper men black sports shoes,men,sports shoes,black,sports,['red'],,,90,lee cooper,39,39.jpg
Puma men cavallino black shoe,men,casual shoes,black,casual,[],,,210,puma,40,40.jpg
Vans men maroon & grey era shoes,men,casual shoes,maroon,casual,['grey'],,,85,vans,41,41.jpg
Adidas men sports white sports shoes,men,sports shoes,white,sports,['green'],,,100,adidas,42,42.jpg
Buckaroo men loma tan casual shoes,men,casual shoes,tan,casual,[],,,170,buckaroo,43,43.jpg
Fila men lobato black casual shoes,men,casual shoes,black,casual,[],,,190,fila,44,44.jpg
Red tape men's black formal shoe,men,formal shoes,black,formal,[],,,105,red tape,45,45.jpg
Puma men axis xt black shoes,men,sports shoes,black,sports,['white'],,,75,puma,46,46.jpg
Puma men black aquil ii sports shoes,men,sports shoes,black,sports,"['white', 'red']",,,45,puma,47,47.jpg
Enroute men leather black formal shoes,men,formal shoes,black,formal,[],,,175,enroute,48,48.jpg
Red chief men black formal shoes,men,formal shoes,black,formal,[],,,105,red chief,49,49.jpg
Lee cooper men black formal shoes,men,formal shoes,black,formal,[],,,65,lee cooper,50,50.jpg
Puma men standpunkt brown casual shoes,men,casual shoes,brown,casual,['tan'],,,115,puma,51,51.jpg
Kalenji ekiden men comfort prime 2011,men,sports shoes,white,sports,['red'],,,110,kalenji ekiden,52,52.jpg
Gas men grey namib shoes,men,casual shoes,grey,casual,[],,,65,gas,53,53.jpg
Nike men dunk high grey shoes,men,casual shoes,grey,casual,['green'],,,200,nike,54,54.jpg
Puma men future cat remix sf white sports shoes,men,sports shoes,white,sports,['red'],,,80,puma,55,55.jpg
F sports men black pace sports shoes,men,sports shoes,black,sports,[],,,180,f sports,56,56.jpg
Puma men's faas blue white silver red shoe,men,sports shoes,blue,sports,"['white', 'red', 'silver']",,,185,puma,57,57.jpg
Arrow men brown formal shoes,men,formal shoes,brown,formal,[],,,145,arrow,58,58.jpg
Carlton london men black oxford wingtip brogues,men,formal shoes,black,formal,[],,,170,carlton london,59,59.jpg
